Site,STIC serial number,T1.deployed,T1.retrieved,T2a.deployed,T2a.retrieved,T2b.deployed,T2b.retrieved,T3.deployed,T3.retrieved,,,,
IP1,21193650,2022-06-07 16:30:00,2022-06-27 16:15:00,2022-06-22 10:30:00,2022-07-12 16:00:00,2022-06-27 16:15:00,2022-07-22 18:00:00,2022-07-22 18:00:00,2022-08-12 20:00:00,,,,
IR1,21359647,2022-06-07 16:45:00,2022-06-27 16:45:00,2022-06-22 10:30:00,2022-07-12 16:00:00,2022-06-27 16:45:00,2022-07-22 18:00:00,2022-07-22 18:00:00,2022-08-12 20:00:00,,,,
IT1,21359648,2022-06-07 16:45:00,2022-06-27 17:00:00,2022-06-22 10:30:00,2022-07-12 16:00:00,2022-06-27 17:00:00,2022-07-22 18:00:00,2022-07-22 18:00:00,2022-08-12 20:00:00,,,,
IP2,21193664,2022-06-07 17:00:00,2022-06-27 17:15:00,2022-06-22 11:00:00,2022-07-12 18:00:00,2022-06-27 17:15:00,2022-07-22 18:00:00,2022-07-22 18:00:00,2022-08-12 20:00:00,,,,
IR2,21193625,2022-06-07 17:30:00,2022-06-27 18:00:00,2022-06-22 11:00:00,2022-07-12 18:00:00,2022-06-27 18:00:00,2022-07-22 18:00:00,2022-07-22 18:00:00,2022-08-12 20:00:00,,,,
IT2,21184463,2022-06-07 17:30:00,2022-06-27 18:15:00,2022-06-22 11:00:00,2022-07-12 18:00:00,2022-06-27 18:15:00,2022-07-22 18:00:00,2022-07-22 18:00:00,2022-08-12 20:00:00,,,,
CP1,21193627,2022-06-07 18:15:00,2022-06-27 18:30:00,2022-06-22 11:30:00,2022-07-12 20:00:00,2022-06-27 18:30:00,2022-07-22 18:00:00,2022-07-22 18:00:00,2022-08-12 20:00:00,,,,
CR1,21193637,2022-06-07 18:30:00,2022-06-27 19:00:00,2022-06-22 11:30:00,2022-07-12 20:00:00,2022-06-27 19:00:00,2022-07-22 18:00:00,2022-07-22 18:00:00,2022-08-12 20:00:00,,,,
CT1,21193669,2022-06-07 18:30:00,2022-06-27 19:00:00,2022-06-22 11:30:00,2022-07-12 20:00:00,2022-06-27 19:00:00,2022-07-22 18:00:00,2022-07-22 18:00:00,2022-08-12 20:00:00,,,,
CP2,21193670,2022-06-07 19:15:00,2022-06-27 19:15:00,2022-06-22 12:00:00,2022-07-12 23:00:00,2022-06-27 19:15:00,2022-07-22 18:00:00,2022-07-22 18:00:00,2022-08-12 20:00:00,,,,
CR2,21359645,2022-06-07 19:30:00,2022-06-27 19:30:00,2022-06-22 12:00:00,2022-07-12 23:00:00,2022-06-27 19:30:00,2022-07-22 18:00:00,2022-07-22 18:00:00,2022-08-12 20:00:00,,,,
CT2,21193659,2022-06-07 19:30:00,2022-06-27 19:30:00,2022-06-22 12:00:00,2022-07-12 23:00:00,2022-06-27 19:30:00,2022-07-22 18:00:00,2022-07-22 18:00:00,2022-08-12 20:00:00,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,